ssid,quality,signal,mac,square
AP-00,60/70,-50,98:DE:D0:8F:0A:38,s-01
AP-01,46/70,-64,D8:07:B6:6E:4E:F4,s-01
AP-02,34/70,-76,D8:07:B6:6E:4F:80,s-01
AP-03,36/70,-74,D8:07:B6:6E:4E:0A,s-01
AP-04,64/70,-46,D8:07:B6:6E:4D:A6,s-01
AP-05,62/70,-48,D8:07:B6:6E:4B:E8,s-01
AP-06,32/70,-78,D8:07:B6:6E:4F:8C,s-01
AP-00,54/70,-56,98:DE:D0:8F:0A:38,s-01
AP-01,36/70,-74,D8:07:B6:6E:4E:F4,s-01
AP-02,44/70,-66,D8:07:B6:6E:4F:80,s-01
AP-03,48/70,-62,D8:07:B6:6E:4E:0A,s-01
AP-04,48/70,-62,D8:07:B6:6E:4D:A6,s-01
AP-05,58/70,-52,D8:07:B6:6E:4B:E8,s-01
AP-06,32/70,-78,D8:07:B6:6E:4F:8C,s-01
AP-00,56/70,-54,98:DE:D0:8F:0A:38,s-01
AP-01,38/70,-72,D8:07:B6:6E:4E:F4,s-01
AP-02,32/70,-78,D8:07:B6:6E:4F:80,s-01
AP-03,34/70,-76,D8:07:B6:6E:4E:0A,s-01
AP-04,60/70,-50,D8:07:B6:6E:4D:A6,s-01
AP-05,60/70,-50,D8:07:B6:6E:4B:E8,s-01
AP-06,34/70,-76,D8:07:B6:6E:4F:8C,s-01
AP-00,60/70,-50,98:DE:D0:8F:0A:38,s-01
AP-01,38/70,-72,D8:07:B6:6E:4E:F4,s-01
AP-02,32/70,-78,D8:07:B6:6E:4F:80,s-01
AP-03,40/70,-70,D8:07:B6:6E:4E:0A,s-01
AP-04,58/70,-52,D8:07:B6:6E:4D:A6,s-01
AP-05,60/70,-50,D8:07:B6:6E:4B:E8,s-01
AP-06,36/70,-74,D8:07:B6:6E:4F:8C,s-01
AP-00,54/70,-56,98:DE:D0:8F:0A:38,s-01
AP-01,34/70,-76,D8:07:B6:6E:4E:F4,s-01
AP-02,38/70,-72,D8:07:B6:6E:4F:80,s-01
AP-03,38/70,-72,D8:07:B6:6E:4E:0A,s-01
AP-04,52/70,-58,D8:07:B6:6E:4D:A6,s-01
AP-05,62/70,-48,D8:07:B6:6E:4B:E8,s-01
AP-06,30/70,-80,D8:07:B6:6E:4F:8C,s-01
AP-00,58/70,-52,98:DE:D0:8F:0A:38,s-01
AP-01,34/70,-76,D8:07:B6:6E:4E:F4,s-01
AP-02,44/70,-66,D8:07:B6:6E:4F:80,s-01
AP-03,44/70,-66,D8:07:B6:6E:4E:0A,s-01
AP-04,50/70,-60,D8:07:B6:6E:4D:A6,s-01
AP-05,60/70,-50,D8:07:B6:6E:4B:E8,s-01
AP-06,20/70,-90,D8:07:B6:6E:4F:8C,s-01
AP-00,60/70,-50,98:DE:D0:8F:0A:38,s-01
AP-01,34/70,-76,D8:07:B6:6E:4E:F4,s-01
AP-02,44/70,-66,D8:07:B6:6E:4F:80,s-01
AP-03,38/70,-72,D8:07:B6:6E:4E:0A,s-01
AP-04,62/70,-48,D8:07:B6:6E:4D:A6,s-01
AP-05,62/70,-48,D8:07:B6:6E:4B:E8,s-01
AP-06,32/70,-78,D8:07:B6:6E:4F:8C,s-01
AP-00,58/70,-52,98:DE:D0:8F:0A:38,s-01
AP-01,34/70,-76,D8:07:B6:6E:4E:F4,s-01
AP-02,44/70,-66,D8:07:B6:6E:4F:80,s-01
AP-03,40/70,-70,D8:07:B6:6E:4E:0A,s-01
AP-04,58/70,-52,D8:07:B6:6E:4D:A6,s-01
AP-05,58/70,-52,D8:07:B6:6E:4B:E8,s-01
AP-06,28/70,-82,D8:07:B6:6E:4F:8C,s-01
AP-00,58/70,-52,98:DE:D0:8F:0A:38,s-01
AP-01,34/70,-76,D8:07:B6:6E:4E:F4,s-01
AP-02,36/70,-74,D8:07:B6:6E:4F:80,s-01
AP-03,40/70,-70,D8:07:B6:6E:4E:0A,s-01
AP-04,62/70,-48,D8:07:B6:6E:4D:A6,s-01
AP-05,62/70,-48,D8:07:B6:6E:4B:E8,s-01
AP-06,38/70,-72,D8:07:B6:6E:4F:8C,s-01
AP-00,62/70,-48,98:DE:D0:8F:0A:38,s-01
AP-01,34/70,-76,D8:07:B6:6E:4E:F4,s-01
AP-02,36/70,-74,D8:07:B6:6E:4F:80,s-01
AP-03,42/70,-68,D8:07:B6:6E:4E:0A,s-01
AP-04,62/70,-48,D8:07:B6:6E:4D:A6,s-01
AP-05,60/70,-50,D8:07:B6:6E:4B:E8,s-01
AP-06,30/70,-80,D8:07:B6:6E:4F:8C,s-01
AP-00,52/70,-58,98:DE:D0:8F:0A:38,s-01
AP-01,46/70,-64,D8:07:B6:6E:4E:F4,s-01
AP-02,34/70,-76,D8:07:B6:6E:4F:80,s-01
AP-03,36/70,-74,D8:07:B6:6E:4E:0A,s-01
AP-04,36/70,-74,D8:07:B6:6E:4D:A6,s-01
AP-05,50/70,-60,D8:07:B6:6E:4B:E8,s-01
AP-06,36/70,-74,D8:07:B6:6E:4F:8C,s-01
AP-00,56/70,-54,98:DE:D0:8F:0A:38,s-01
AP-01,46/70,-64,D8:07:B6:6E:4E:F4,s-01
AP-02,38/70,-72,D8:07:B6:6E:4F:80,s-01
AP-03,36/70,-74,D8:07:B6:6E:4E:0A,s-01
AP-04,54/70,-56,D8:07:B6:6E:4D:A6,s-01
AP-05,58/70,-52,D8:07:B6:6E:4B:E8,s-01
AP-06,36/70,-74,D8:07:B6:6E:4F:8C,s-01
AP-00,56/70,-54,98:DE:D0:8F:0A:38,s-01
AP-01,46/70,-64,D8:07:B6:6E:4E:F4,s-01
AP-02,36/70,-74,D8:07:B6:6E:4F:80,s-01
AP-03,32/70,-78,D8:07:B6:6E:4E:0A,s-01
AP-04,54/70,-56,D8:07:B6:6E:4D:A6,s-01
AP-05,60/70,-50,D8:07:B6:6E:4B:E8,s-01
AP-06,26/70,-84,D8:07:B6:6E:4F:8C,s-01
AP-00,54/70,-56,98:DE:D0:8F:0A:38,s-01
AP-01,46/70,-64,D8:07:B6:6E:4E:F4,s-01
AP-02,38/70,-72,D8:07:B6:6E:4F:80,s-01
AP-03,38/70,-72,D8:07:B6:6E:4E:0A,s-01
AP-04,58/70,-52,D8:07:B6:6E:4D:A6,s-01
AP-05,60/70,-50,D8:07:B6:6E:4B:E8,s-01
AP-06,26/70,-84,D8:07:B6:6E:4F:8C,s-01
AP-00,52/70,-58,98:DE:D0:8F:0A:38,s-01
AP-01,44/70,-66,D8:07:B6:6E:4E:F4,s-01
AP-02,42/70,-68,D8:07:B6:6E:4F:80,s-01
AP-03,38/70,-72,D8:07:B6:6E:4E:0A,s-01
AP-04,50/70,-60,D8:07:B6:6E:4D:A6,s-01
AP-05,60/70,-50,D8:07:B6:6E:4B:E8,s-01
AP-06,26/70,-84,D8:07:B6:6E:4F:8C,s-01
AP-00,54/70,-56,98:DE:D0:8F:0A:38,s-01
AP-01,42/70,-68,D8:07:B6:6E:4E:F4,s-01
AP-02,42/70,-68,D8:07:B6:6E:4F:80,s-01
AP-03,38/70,-72,D8:07:B6:6E:4E:0A,s-01
AP-04,50/70,-60,D8:07:B6:6E:4D:A6,s-01
AP-05,54/70,-56,D8:07:B6:6E:4B:E8,s-01
AP-06,26/70,-84,D8:07:B6:6E:4F:8C,s-01
AP-00,58/70,-52,98:DE:D0:8F:0A:38,s-01
AP-01,36/70,-74,D8:07:B6:6E:4E:F4,s-01
AP-02,42/70,-68,D8:07:B6:6E:4F:80,s-01
AP-03,36/70,-74,D8:07:B6:6E:4E:0A,s-01
AP-04,46/70,-64,D8:07:B6:6E:4D:A6,s-01
AP-05,56/70,-54,D8:07:B6:6E:4B:E8,s-01
AP-06,26/70,-84,D8:07:B6:6E:4F:8C,s-01
AP-00,48/70,-62,98:DE:D0:8F:0A:38,s-01
AP-01,36/70,-74,D8:07:B6:6E:4E:F4,s-01
AP-02,40/70,-70,D8:07:B6:6E:4F:80,s-01
AP-03,36/70,-74,D8:07:B6:6E:4E:0A,s-01
AP-04,62/70,-48,D8:07:B6:6E:4D:A6,s-01
AP-05,60/70,-50,D8:07:B6:6E:4B:E8,s-01
AP-06,26/70,-84,D8:07:B6:6E:4F:8C,s-01
AP-00,62/70,-48,98:DE:D0:8F:0A:38,s-01
AP-01,46/70,-64,D8:07:B6:6E:4E:F4,s-01
AP-02,40/70,-70,D8:07:B6:6E:4F:80,s-01
AP-03,36/70,-74,D8:07:B6:6E:4E:0A,s-01
AP-04,56/70,-54,D8:07:B6:6E:4D:A6,s-01
AP-05,58/70,-52,D8:07:B6:6E:4B:E8,s-01
AP-06,26/70,-84,D8:07:B6:6E:4F:8C,s-01
AP-00,60/70,-50,98:DE:D0:8F:0A:38,s-01
AP-01,48/70,-62,D8:07:B6:6E:4E:F4,s-01
AP-02,42/70,-68,D8:07:B6:6E:4F:80,s-01
AP-03,36/70,-74,D8:07:B6:6E:4E:0A,s-01
AP-04,56/70,-54,D8:07:B6:6E:4D:A6,s-01
AP-05,58/70,-52,D8:07:B6:6E:4B:E8,s-01
AP-06,26/70,-84,D8:07:B6:6E:4F:8C,s-01
AP-00,62/70,-48,98:DE:D0:8F:0A:38,s-01
AP-01,36/70,-74,D8:07:B6:6E:4E:F4,s-01
AP-02,44/70,-66,D8:07:B6:6E:4F:80,s-01
AP-03,36/70,-74,D8:07:B6:6E:4E:0A,s-01
AP-04,66/70,-44,D8:07:B6:6E:4D:A6,s-01
AP-05,60/70,-50,D8:07:B6:6E:4B:E8,s-01
AP-06,32/70,-78,D8:07:B6:6E:4F:8C,s-01
AP-00,52/70,-58,98:DE:D0:8F:0A:38,s-01
AP-01,48/70,-62,D8:07:B6:6E:4E:F4,s-01
AP-02,44/70,-66,D8:07:B6:6E:4F:80,s-01
AP-03,36/70,-74,D8:07:B6:6E:4E:0A,s-01
AP-04,68/70,-42,D8:07:B6:6E:4D:A6,s-01
AP-05,58/70,-52,D8:07:B6:6E:4B:E8,s-01
AP-06,32/70,-78,D8:07:B6:6E:4F:8C,s-01
AP-00,46/70,-64,98:DE:D0:8F:0A:38,s-01
AP-01,48/70,-62,D8:07:B6:6E:4E:F4,s-01
AP-02,38/70,-72,D8:07:B6:6E:4F:80,s-01
AP-03,38/70,-72,D8:07:B6:6E:4E:0A,s-01
AP-04,36/70,-74,D8:07:B6:6E:4D:A6,s-01
AP-05,58/70,-52,D8:07:B6:6E:4B:E8,s-01
AP-06,32/70,-78,D8:07:B6:6E:4F:8C,s-01
AP-00,56/70,-54,98:DE:D0:8F:0A:38,s-01
AP-01,52/70,-58,D8:07:B6:6E:4E:F4,s-01
AP-02,38/70,-72,D8:07:B6:6E:4F:80,s-01
AP-03,38/70,-72,D8:07:B6:6E:4E:0A,s-01
AP-04,54/70,-56,D8:07:B6:6E:4D:A6,s-01
AP-05,52/70,-58,D8:07:B6:6E:4B:E8,s-01
AP-06,32/70,-78,D8:07:B6:6E:4F:8C,s-01
AP-00,52/70,-58,98:DE:D0:8F:0A:38,s-01
AP-01,52/70,-58,D8:07:B6:6E:4E:F4,s-01
AP-02,38/70,-72,D8:07:B6:6E:4F:80,s-01
AP-03,38/70,-72,D8:07:B6:6E:4E:0A,s-01
AP-04,64/70,-46,D8:07:B6:6E:4D:A6,s-01
AP-05,54/70,-56,D8:07:B6:6E:4B:E8,s-01
AP-06,30/70,-80,D8:07:B6:6E:4F:8C,s-01
AP-00,52/70,-58,98:DE:D0:8F:0A:38,s-01
AP-01,38/70,-72,D8:07:B6:6E:4E:F4,s-01
AP-02,38/70,-72,D8:07:B6:6E:4F:80,s-01
AP-03,36/70,-74,D8:07:B6:6E:4E:0A,s-01
AP-04,58/70,-52,D8:07:B6:6E:4D:A6,s-01
AP-05,54/70,-56,D8:07:B6:6E:4B:E8,s-01
AP-06,28/70,-82,D8:07:B6:6E:4F:8C,s-01
AP-00,56/70,-54,98:DE:D0:8F:0A:38,s-01
AP-01,42/70,-68,D8:07:B6:6E:4E:F4,s-01
AP-02,38/70,-72,D8:07:B6:6E:4F:80,s-01
AP-03,34/70,-76,D8:07:B6:6E:4E:0A,s-01
AP-04,62/70,-48,D8:07:B6:6E:4D:A6,s-01
AP-05,56/70,-54,D8:07:B6:6E:4B:E8,s-01
AP-06,34/70,-76,D8:07:B6:6E:4F:8C,s-01
AP-00,52/70,-58,98:DE:D0:8F:0A:38,s-01
AP-01,44/70,-66,D8:07:B6:6E:4E:F4,s-01
AP-02,38/70,-72,D8:07:B6:6E:4F:80,s-01
AP-03,36/70,-74,D8:07:B6:6E:4E:0A,s-01
AP-04,64/70,-46,D8:07:B6:6E:4D:A6,s-01
AP-05,46/70,-64,D8:07:B6:6E:4B:E8,s-01
AP-06,20/70,-90,D8:07:B6:6E:4F:8C,s-01
AP-00,20/70,-90,98:DE:D0:8F:0A:38,s-01
AP-01,48/70,-62,D8:07:B6:6E:4E:F4,s-01
AP-02,38/70,-72,D8:07:B6:6E:4F:80,s-01
AP-03,38/70,-72,D8:07:B6:6E:4E:0A,s-01
AP-04,58/70,-52,D8:07:B6:6E:4D:A6,s-01
AP-05,58/70,-52,D8:07:B6:6E:4B:E8,s-01
AP-06,36/70,-74,D8:07:B6:6E:4F:8C,s-01
AP-00,48/70,-62,98:DE:D0:8F:0A:38,s-01
AP-01,42/70,-68,D8:07:B6:6E:4E:F4,s-01
AP-02,44/70,-66,D8:07:B6:6E:4F:80,s-01
AP-03,36/70,-74,D8:07:B6:6E:4E:0A,s-01
AP-04,70/70,-40,D8:07:B6:6E:4D:A6,s-01
AP-05,46/70,-64,D8:07:B6:6E:4B:E8,s-01
AP-06,32/70,-78,D8:07:B6:6E:4F:8C,s-01
AP-00,40/70,-70,98:DE:D0:8F:0A:38,s-01
AP-01,42/70,-68,D8:07:B6:6E:4E:F4,s-01
AP-02,34/70,-76,D8:07:B6:6E:4F:80,s-01
AP-03,32/70,-78,D8:07:B6:6E:4E:0A,s-01
AP-04,70/70,-40,D8:07:B6:6E:4D:A6,s-01
AP-05,58/70,-52,D8:07:B6:6E:4B:E8,s-01
AP-06,34/70,-76,D8:07:B6:6E:4F:8C,s-01
AP-00,52/70,-58,98:DE:D0:8F:0A:38,s-01
AP-01,42/70,-68,D8:07:B6:6E:4E:F4,s-01
AP-02,34/70,-76,D8:07:B6:6E:4F:80,s-01
AP-03,42/70,-68,D8:07:B6:6E:4E:0A,s-01
AP-04,68/70,-42,D8:07:B6:6E:4D:A6,s-01
AP-05,64/70,-46,D8:07:B6:6E:4B:E8,s-01
AP-06,36/70,-74,D8:07:B6:6E:4F:8C,s-01
AP-00,52/70,-58,98:DE:D0:8F:0A:38,s-01
AP-01,40/70,-70,D8:07:B6:6E:4E:F4,s-01
AP-02,34/70,-76,D8:07:B6:6E:4F:80,s-01
AP-03,40/70,-70,D8:07:B6:6E:4E:0A,s-01
AP-04,70/70,-38,D8:07:B6:6E:4D:A6,s-01
AP-05,60/70,-50,D8:07:B6:6E:4B:E8,s-01
AP-06,28/70,-82,D8:07:B6:6E:4F:8C,s-01
AP-00,52/70,-58,98:DE:D0:8F:0A:38,s-01
AP-01,42/70,-68,D8:07:B6:6E:4E:F4,s-01
AP-02,22/70,-88,D8:07:B6:6E:4F:80,s-01
AP-03,40/70,-70,D8:07:B6:6E:4E:0A,s-01
AP-04,70/70,-36,D8:07:B6:6E:4D:A6,s-01
AP-05,62/70,-48,D8:07:B6:6E:4B:E8,s-01
AP-06,30/70,-80,D8:07:B6:6E:4F:8C,s-01
AP-00,50/70,-60,98:DE:D0:8F:0A:38,s-01
AP-01,42/70,-68,D8:07:B6:6E:4E:F4,s-01
AP-02,34/70,-76,D8:07:B6:6E:4F:80,s-01
AP-03,42/70,-68,D8:07:B6:6E:4E:0A,s-01
AP-04,70/70,-40,D8:07:B6:6E:4D:A6,s-01
AP-05,64/70,-46,D8:07:B6:6E:4B:E8,s-01
AP-06,30/70,-80,D8:07:B6:6E:4F:8C,s-01
AP-00,44/70,-66,98:DE:D0:8F:0A:38,s-01
AP-01,40/70,-70,D8:07:B6:6E:4E:F4,s-01
AP-02,34/70,-76,D8:07:B6:6E:4F:80,s-01
AP-03,42/70,-68,D8:07:B6:6E:4E:0A,s-01
AP-04,70/70,-36,D8:07:B6:6E:4D:A6,s-01
AP-05,60/70,-50,D8:07:B6:6E:4B:E8,s-01
AP-06,30/70,-80,D8:07:B6:6E:4F:8C,s-01
AP-00,50/70,-60,98:DE:D0:8F:0A:38,s-01
AP-01,40/70,-70,D8:07:B6:6E:4E:F4,s-01
AP-02,34/70,-76,D8:07:B6:6E:4F:80,s-01
AP-03,42/70,-68,D8:07:B6:6E:4E:0A,s-01
AP-04,70/70,-38,D8:07:B6:6E:4D:A6,s-01
AP-05,62/70,-48,D8:07:B6:6E:4B:E8,s-01
AP-06,34/70,-76,D8:07:B6:6E:4F:8C,s-01
AP-00,46/70,-64,98:DE:D0:8F:0A:38,s-01
AP-01,40/70,-70,D8:07:B6:6E:4E:F4,s-01
AP-02,36/70,-74,D8:07:B6:6E:4F:80,s-01
AP-03,42/70,-68,D8:07:B6:6E:4E:0A,s-01
AP-04,70/70,-36,D8:07:B6:6E:4D:A6,s-01
AP-05,58/70,-52,D8:07:B6:6E:4B:E8,s-01
AP-06,30/70,-80,D8:07:B6:6E:4F:8C,s-01
AP-00,48/70,-62,98:DE:D0:8F:0A:38,s-01
AP-01,42/70,-68,D8:07:B6:6E:4E:F4,s-01
AP-02,36/70,-74,D8:07:B6:6E:4F:80,s-01
AP-03,38/70,-72,D8:07:B6:6E:4E:0A,s-01
AP-04,70/70,-36,D8:07:B6:6E:4D:A6,s-01
AP-05,56/70,-54,D8:07:B6:6E:4B:E8,s-01
AP-06,30/70,-80,D8:07:B6:6E:4F:8C,s-01
AP-00,58/70,-52,98:DE:D0:8F:0A:38,s-01
AP-01,42/70,-68,D8:07:B6:6E:4E:F4,s-01
AP-02,38/70,-72,D8:07:B6:6E:4F:80,s-01
AP-03,38/70,-72,D8:07:B6:6E:4E:0A,s-01
AP-04,70/70,-36,D8:07:B6:6E:4D:A6,s-01
AP-05,58/70,-52,D8:07:B6:6E:4B:E8,s-01
AP-06,30/70,-80,D8:07:B6:6E:4F:8C,s-01
